date	island	site	point	time	spp	numind	dist	occasion
6/21/11	Rota	Isang	Ic	851	Ptro	1	40	1
6/21/11	Rota	Isang	Ic	851	Toch	2	25	1
6/21/11	Rota	Isang	Ic	851	Dima	1	30	1
6/21/11	Rota	Isang	Ic	851	Rhru	1	25	1
6/21/11	Rota	Isang	Ib	915	Rhru	1	25	1
6/21/11	Rota	Isang	Ib	915	Ptro	1	17	1
6/21/11	Rota	Isang	Ib	915	Myru	1	22	1
6/21/11	Rota	Isang	Ib	915	Gyal	1	55	1
6/21/11	Rota	Isang	Ib	915	Apop	2	22	1
6/21/11	Rota	Isang	Ib	915	Ptro	1	60	1
6/21/11	Rota	Isang	Ib	915	Toch	2	35	1
6/23/11	Rota	Isang	Ia	531	Apop	1	15	2
6/23/11	Rota	Isang	Ia	531	Ptro	1	55	2
6/23/11	Rota	Isang	Ia	531	Ptro	1	50	2
6/23/11	Rota	Isang	Ia	531	Apop	1	30	2
6/23/11	Rota	Isang	Ia	531	Rhru	1	18	2
6/23/11	Rota	Isang	Ia	531	Rhru	1	35	2
6/23/11	Rota	Isang	Ic	547	Apop	3	20	2
6/23/11	Rota	Isang	Ic	547	Rhru	3	25	2
6/23/11	Rota	Isang	Ic	547	Rhru	1	17	2
6/23/11	Rota	Isang	Ic	547	Ptro	1	60	2
6/23/11	Rota	Isang	Ic	547	Ptro	1	40	2
6/23/11	Rota	Isang	Ic	547	Dima	2	25	2
6/23/11	Rota	Isang	Ic	547	Toch	1	30	2
6/23/11	Rota	Isang	Ic	547	Toch	1	25	2
6/23/11	Rota	Isang	Ib	605	Rhru	1	7	2
6/23/11	Rota	Isang	Ib	605	Rhru	1	10	2
6/23/11	Rota	Isang	Ib	605	Dima	1	10	2
6/23/11	Rota	Isang	Ib	605	Rhru	1	20	2
6/23/11	Rota	Isang	Ib	605	Dima	1	10	2
6/23/11	Rota	Isang	Ib	605	Ptro	1	50	2
6/23/11	Rota	Isang	Ib	605	Ptro	1	50	2
6/23/11	Rota	Isang	Ib	605	Gaga	1	70	2
6/23/11	Rota	Isang	Ib	605	Dima	1	10	2
6/23/11	Rota	grvpt	Ga	704	Ptro	1	45	2
6/23/11	Rota	grvpt	Ga	704	Ptro	1	55	2
6/23/11	Rota	grvpt	Ga	704	Ptro	1	35	2
6/23/11	Rota	grvpt	Ga	704	Rhru	1	17	2
6/23/11	Rota	grvpt	Ga	704	Apop	1	25	2
6/23/11	Rota	grvpt	Ga	704	Gyal	1	30	2
6/23/11	Rota	grvpt	Ga	704	Rhru	1	25	2
6/23/11	Rota	grvpt	Ga	704	Dima	1	25	2
6/23/11	Rota	grvpt	Ga	704	Myru	1	20	2
6/23/11	Rota	grvpt	Ga	704	Apop	1	30	2
6/23/11	Rota	grvpt	Gc	720	Rhru	1	23	2
6/23/11	Rota	grvpt	Gc	720	Ptro	1	23	2
6/23/11	Rota	grvpt	Gc	720	Dima	3	20	2
6/23/11	Rota	grvpt	Gc	720	Ptro	1	30	2
6/23/11	Rota	grvpt	Gc	720	Ptro	1	60	2
6/23/11	Rota	grvpt	Gc	720	Ptro	1	40	2
6/23/11	Rota	grvpt	Gc	720	Toch	1	50	2
6/23/11	Rota	grvpt	Gc	720	Rhru	1	25	2
6/23/11	Rota	grvpt	Gc	720	Apop	1	20	2
6/23/11	Rota	grvpt	Gc	720	Apop	1	30	2
6/23/11	Rota	grvpt	Gc	720	Apop	1	14	2
6/23/11	Rota	grvpt	Gc	720	Toch	1	20	2
6/23/11	Rota	grvpt	Gb	739	Rhru	1	4	2
6/23/11	Rota	grvpt	Gb	739	Rhru	1	12	2
6/23/11	Rota	grvpt	Gb	739	Dima	1	22	2
6/23/11	Rota	grvpt	Gb	739	Dima	1	20	2
6/23/11	Rota	grvpt	Gb	739	Ptro	1	40	2
6/23/11	Rota	grvpt	Gb	739	Ptro	1	60	2
6/23/11	Rota	grvpt	Gb	739	Ptro	1	70	2
6/23/11	Rota	grvpt	Gb	739	Dima	1	12	2
6/23/11	Rota	grvpt	Gb	739	Rhru	1	15	2
6/23/11	Rota	grvpt	Gb	739	Gaga	1	60	2
6/23/11	Rota	grvpt	Gb	739	Toch	1	30	2
6/23/11	Rota	Palii	Pa	813	Rhru	1	23	2
6/23/11	Rota	Palii	Pa	813	Rhru	1	25	2
6/23/11	Rota	Palii	Pa	813	Gyal	1	17	2
6/23/11	Rota	Palii	Pa	813	Ptro	1	50	2
6/23/11	Rota	Palii	Pa	813	Dima	1	25	2
6/23/11	Rota	Palii	Pa	813	Rhru	1	30	2
6/23/11	Rota	Palii	Pa	813	Apop	1	22	2
6/23/11	Rota	Palii	Pa	813	Ptro	2	40	2
6/23/11	Rota	Palii	Pa	813	Apop	1	40	2
6/23/11	Rota	Palii	Pa	813	Apop	1	25	2
6/23/11	Rota	Palii	Pc	827	Dima	2	30	2
6/23/11	Rota	Palii	Pc	827	Rhru	1	25	2
6/23/11	Rota	Palii	Pc	827	Dima	1	27	2
6/23/11	Rota	Palii	Pc	827	Ptro	1	35	2
6/23/11	Rota	Palii	Pc	827	Ptro	1	70	2
6/23/11	Rota	Palii	Pc	827	Rhru	1	20	2
6/23/11	Rota	Palii	Pc	827	Rhru	1	20	2
6/23/11	Rota	Palii	Pc	827	Apop	1	21	2
6/23/11	Rota	Palii	Pc	827	Dima	1	30	2
6/23/11	Rota	Palii	Pc	827	Ptro	1	60	2
6/23/11	Rota	Palii	Pb	847	Dima	2	27	2
6/23/11	Rota	Palii	Pb	847	Myru	1	27	2
6/23/11	Rota	Palii	Pb	847	Ptro	1	55	2
6/23/11	Rota	Palii	Pb	847	Apop	1	40	2
6/23/11	Rota	Palii	Pb	847	Toch	1	40	2
6/23/11	Rota	Palii	Pb	847	Rhru	1	30	2
6/23/11	Rota	Palii	Pb	847	Apop	1	25	2
6/24/11	Rota	Palii	Pa	540	Apop	1	25	3
6/24/11	Rota	Palii	Pa	540	Rhru	1	25	3
6/24/11	Rota	Palii	Pa	540	Rhru	1	30	3
6/24/11	Rota	Palii	Pa	540	Gaga	1	50	3
6/24/11	Rota	Palii	Pa	540	Toch	1	22	3
6/24/11	Rota	Palii	Pa	540	Dima	2	25	3
6/24/11	Rota	Palii	Pa	540	Apop	1	33	3
6/24/11	Rota	Palii	Pa	540	Apop	1	25	3
6/24/11	Rota	Palii	Pc	554	Rhru	1	30	3
6/24/11	Rota	Palii	Pc	554	Dima	1	30	3
6/24/11	Rota	Palii	Pc	554	Rhru	1	35	3
6/24/11	Rota	Palii	Pc	554	Ptro	1	30	3
6/24/11	Rota	Palii	Pc	554	Ptro	1	50	3
6/24/11	Rota	Palii	Pc	554	Apop	1	27	3
